step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,4.43167,0.66667,,
2,1.5194,0.875,,
3,3.03016,0.48,,
4,1.5882,0.68966,,
5,0.94268,0.82143,,
6,1.19899,0.79012,,
7,3.27618,0.44444,,
8,3.48663,0.5,,
9,1.58355,0.71642,,
10,3.86118,0.6875,,
11,2.02208,0.78261,,
12,1.40462,0.81818,,
13,2.60765,0.61905,,
14,1.80845,0.76,,
15,2.18307,0.52083,,
16,5.54854,0.5,,
17,2.47506,0.8,,
18,2.99254,0.61111,,
19,1.50011,0.73333,,
20,0.99621,0.73529,,
21,1.34567,0.77419,,
22,2.06059,0.7,,
23,2.26175,0.55556,,
24,1.59773,0.64286,,
25,1.94167,0.6,,
26,0.72548,0.86111,,
27,1.16202,0.81818,,
28,0.46162,0.90323,,
29,0.76154,0.85,,
30,1.92424,0.66667,,
31,1.39279,0.81481,,
32,1.35683,0.68182,,
33,0.95318,0.77778,,
34,0.30112,0.875,,
35,1.2404,0.72727,,
36,0.29803,0.84615,,
37,1.28347,0.55556,,
38,0.47718,0.8125,,
39,0.94542,0.82759,,
40,1.99742,0.5,,
41,0.95514,0.70588,,
42,0.64357,0.71429,,
43,0.4338,0.82143,,
44,0.37996,0.88571,,
45,0.47186,0.86486,,
46,1.18968,0.69231,,
47,0.48321,0.91667,,
48,0.78597,0.75,,
49,0.70241,0.83333,,
50,0.2418,0.92308,,
51,0.2491,0.92,,
52,0.64754,0.75,,
53,0.244,0.95455,,
54,0.8314,0.77778,,
55,1.69026,0.53191,,
56,0.41765,0.88889,,
57,1.03791,0.82353,,
58,0.33689,1.0,,
59,0.86052,0.72727,,
60,0.39223,0.85714,,
61,1.77605,0.65517,,
62,0.65219,0.8,,
63,0.48085,0.9,,
64,0.79945,0.71429,,
65,0.35709,0.88889,,
66,0.70137,0.81818,,
67,0.97778,0.625,,
68,0.52928,0.875,,
69,1.54936,0.64224,,
70,0.18669,1.0,,
71,1.69031,0.55556,,
72,1.22688,0.66667,,
73,0.58219,0.83333,,
74,1.68636,0.66667,,
75,1.43422,0.65385,,
76,1.09972,0.83333,,
77,0.86962,0.625,,
78,1.53476,0.63158,,
79,0.31647,0.86957,,
80,0.41877,0.88235,,
81,1.14525,0.71667,,
82,0.43098,0.8125,,
83,0.86672,0.75,,
84,1.36349,0.71429,,
85,1.97412,0.55319,,
86,0.61882,0.73684,,
87,0.7825,0.6875,,
88,0.75048,0.75,,
89,0.7142,0.77419,,
90,0.75382,0.73077,,
91,0.26995,1.0,,
92,0.14389,0.95652,,
93,0.18306,1.0,,
94,0.93707,0.67857,,
95,0.67213,0.875,,
96,0.40522,0.79167,,
97,0.50565,0.82653,,
98,0.87152,0.8,,
99,0.53352,0.85,,
100,0.12247,1.0,,
101,1.59957,0.5,,
102,0.26449,0.85714,,
103,1.33324,0.71831,,
104,1.31987,0.67925,,
105,0.27227,0.85714,,
106,0.08686,1.0,,
107,0.59186,0.84615,,
108,0.23318,0.9375,,
109,0.24095,0.88462,,
110,2.00699,0.6129,,
111,0.36831,0.90244,,
112,0.8081,0.71429,,
113,0.49423,0.79167,,
114,0.94024,0.78571,,
115,0.04415,1.0,,
116,0.39556,0.84848,,
117,0.43363,0.83333,,
118,0.09079,0.91667,,
119,1.42725,0.84211,,
120,1.88848,0.67308,,
121,0.08572,1.0,,
122,0.43444,0.86275,,
123,0.17515,0.91667,,
124,0.1507,1.0,,
